particle,frame,x,y,Distance,Velocity,Pixel Value
1,438,510,400,1.389,0.695,120
1,439,511,393,0.912,0.456,81
1,440,511,401,1.032,0.516,88
1,441,510,414,1.682,0.841,65
1,442,515,399,2.040,1.020,60
1,443,519,377,2.885,1.442,54
1,444,512,370,1.277,0.639,46
1,445,516,364,0.930,0.465,41
1,446,515,365,0.182,0.091,32
1,447,511,373,1.154,0.577,37
1,448,503,391,2.541,1.271,28
1,449,493,416,3.473,1.737,28
1,450,502,412,1.271,0.635,30
1,451,518,381,4.500,2.250,44
1,452,521,352,3.761,1.880,53
1,453,523,339,1.697,0.848,38
1,454,523,302,4.773,2.386,59
1,455,518,278,3.162,1.581,46
1,456,517,285,0.912,0.456,46
1,457,521,309,3.139,1.569,31
1,458,524,300,1.224,0.612,31
1,459,518,317,2.326,1.163,37
1,460,516,342,3.235,1.618,24
1,461,508,379,4.883,2.442,33
1,462,502,389,1.504,0.752,31
1,463,504,377,1.569,0.785,29
1,464,501,377,0.387,0.194,25
1,465,509,367,1.652,0.826,28
1,466,512,333,4.403,2.202,28
1,467,507,353,2.659,1.330,30
1,468,514,347,1.189,0.595,31
1,469,514,343,0.516,0.258,26
1,470,505,312,4.164,2.082,31
1,471,508,300,1.596,0.798,36
1,472,511,279,2.737,1.368,26
1,473,516,286,1.110,0.555,44
1,474,518,305,2.465,1.232,35
1,475,517,288,2.197,1.098,47
1,476,515,274,1.824,0.912,40
1,477,516,269,0.658,0.329,46
1,478,523,300,4.100,2.050,48
1,479,520,328,3.633,1.816,50
1,480,519,328,0.129,0.065,37
1,481,517,348,2.593,1.296,34
1,482,514,365,2.227,1.113,32
1,483,519,350,2.040,1.020,43
1,484,521,348,0.365,0.182,45
1,485,518,345,0.547,0.274,34
1,486,517,348,0.408,0.204,34
1,487,517,365,2.193,1.097,35
1,488,511,393,3.694,1.847,40
1,489,513,394,0.288,0.144,48
1,490,514,391,0.408,0.204,57
1,491,512,411,2.593,1.296,46
1,492,503,433,3.066,1.533,55
1,493,507,424,1.271,0.635,67
1,494,511,405,2.505,1.252,106
1,495,513,400,0.695,0.347,94
1,496,516,387,1.721,0.861,72
1,497,521,373,1.918,0.959,80
1,498,525,364,1.271,0.635,61
1,499,523,352,1.569,0.785,65
1,500,519,352,0.516,0.258,28
1,501,520,362,1.296,0.648,41
1,502,521,374,1.553,0.777,70
1,503,521,361,1.677,0.839,43
1,504,518,372,1.471,0.735,30
1,505,520,358,1.824,0.912,46
1,506,521,342,2.068,1.034,61
1,507,524,320,2.864,1.432,42
1,508,522,313,0.939,0.470,30
1,509,522,312,0.129,0.065,40
1,510,521,319,0.912,0.456,39
1,511,523,335,2.080,1.040,41
1,512,522,324,1.425,0.712,35
1,513,521,327,0.408,0.204,38
1,514,521,347,2.580,1.290,38
1,515,523,348,0.288,0.144,42
1,516,522,343,0.658,0.329,36
1,517,524,318,3.235,1.618,60
1,518,521,293,3.248,1.624,64
1,519,519,276,2.208,1.104,83
1,520,517,275,0.288,0.144,44
1,521,522,292,2.286,1.143,37
1,522,517,296,0.826,0.413,28
1,523,507,284,2.015,1.008,35
1,524,501,270,1.965,0.982,22
1,525,494,273,0.982,0.491,26
1,526,508,281,2.080,1.040,25
1,527,521,299,2.864,1.432,44
1,528,524,299,0.387,0.194,37
1,529,520,295,0.730,0.365,40
1,530,512,286,1.553,0.777,33
1,531,511,267,2.454,1.227,32
1,532,495,280,2.659,1.330,27
1,533,502,300,2.733,1.367,27
1,534,507,305,0.912,0.456,30
1,535,509,293,1.569,0.785,28
1,536,505,256,4.801,2.400,34
1,537,504,239,2.197,1.098,26
1,538,508,236,0.645,0.323,65
1,539,506,230,0.816,0.408,61
1,540,506,227,0.387,0.194,53
1,541,512,247,2.694,1.347,39
1,542,522,272,3.473,1.737,42
1,543,521,294,2.841,1.420,26
1,544,516,288,1.008,0.504,29
1,545,509,274,2.019,1.010,25
1,546,489,261,3.077,1.539,25
1,547,487,255,0.816,0.408,27
1,548,480,242,1.905,0.952,31
1,549,466,243,1.811,0.905,28
1,550,461,242,0.658,0.329,29
1,551,476,260,3.023,1.511,27
1,552,487,276,2.505,1.252,30
1,553,498,243,4.487,2.244,33
1,554,501,235,1.102,0.551,39
1,555,509,246,1.755,0.877,44
1,556,512,249,0.547,0.274,70
1,557,508,239,1.389,0.695,69
1,558,515,255,2.253,1.126,58
1,559,517,263,1.064,0.532,53
1,560,515,254,1.189,0.595,111
1,561,512,250,0.645,0.323,76
1,562,513,254,0.532,0.266,59
1,563,524,302,6.353,3.176,81
1,564,523,301,0.182,0.091,82
1,565,524,311,1.296,0.648,73
1,566,525,331,2.583,1.292,64
1,567,524,320,1.425,0.712,49
1,568,521,285,4.532,2.266,63
